#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
277981:5151,08/01/16 11:53:47,75,75,4.818,4.510
277991:5151,08/01/16 15:43:57,85,85,4.877,4.632
277992:5151,08/01/16 16:22:25,312,312,17.421,16.558
278017:5154,08/01/16 23:27:07,512,512,132.120,125.320
278018:5154,08/02/16 02:52:02,1157,1157,225.414,214.673
278167:5161,08/03/16 18:39:02,2167,2167,328.446,314.968
278175:5161,08/04/16 08:44:59,88,88,9.175,8.946
278193:5162,08/04/16 12:31:45,155,155,36.243,34.538
278239:5163,08/04/16 23:23:25,662,662,141.935,133.592
278240:5163,08/05/16 03:46:55,1306,1306,206.039,197.803
278273:5169,08/05/16 17:37:44,35,35,6.957,5.811
278274:5169,08/05/16 17:55:42,84,84,19.346,18.036
278288:5170,08/05/16 21:11:36,14,14,3.484,2.821
278289:5170,08/05/16 21:18:03,51,51,11.225,9.648
278290:5170,08/05/16 21:42:35,11,11,2.611,2.422
278308:5173,08/06/16 13:00:40,1784,1784,336.525,320.602
278309:5173,08/07/16 00:39:31,10,10,1.408,1.318
278310:5173,08/07/16 00:47:38,708,708,90.744,87.851
278315:5179,08/07/16 10:56:52,695,695,149.835,137.644
278345:5181,08/08/16 00:13:40,747,747,163.819,150.737
278346:5181,08/08/16 05:08:16,117,117,22.194,21.128
278349:5181,08/08/16 06:27:07,629,629,101.235,96.942
278366:5181,08/08/16 10:36:49,453,453,61.257,59.100
278406:5183,08/08/16 17:16:15,1597,1597,313.196,297.425
278509:5187,08/09/16 18:29:39,1466,1466,294.834,273.728
278769:5197,08/13/16 06:39:20,29,29,7.587,7.214
278770:5197,08/13/16 06:54:01,767,767,171.617,164.427
278801:5198,08/13/16 14:44:01,37,37,9.902,7.831
278802:5198,08/13/16 15:01:06,17,17,4.079,1.706
278803:5198,08/13/16 15:10:53,318,318,77.547,71.678
278804:5198,08/13/16 17:20:07,4,4,0.914,0.739
278805:5198,08/13/16 17:23:58,276,276,59.751,56.246
278808:5198,08/13/16 19:25:19,1793,1793,279.958,269.540
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#14,33,18161,18161,3296.514,3120.134
#Check JSON:
#(run,ls) in json but not in results: []
